book_name,author_id,author_name,publishing_company,city,fiscal_year,calendar_year,year_month,date,AutoARIMA,HoltWinters,SeasonalNaive
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2024,202409,2024-09-01,411190.66,455398.34,546789.3
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2024,202410,2024-10-01,411022.4,305784.12,338038.75
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2024,202411,2024-11-01,410854.25,305508.3,351409.66
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2024,202412,2024-12-01,410686.16,291139.88,354674.4
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2025,202501,2025-01-01,410518.12,323062.84,350141.47
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2023,202310,2023-10-01,142834.78,131418.28,144420.42
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2023,202311,2023-11-01,155229.14,150781.44,155771.61
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2023,202312,2023-12-01,147978.34,139914.0,148163.94
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202401,2024-01-01,150250.06,148192.05,150313.56
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202402,2024-02-01,149888.45,143756.61,149910.17
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202403,2024-03-01,157512.7,153496.44,157520.12
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202404,2024-04-01,157108.4,161855.17,157110.95
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202405,2024-05-01,150346.75,151357.28,150347.62
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202406,2024-06-01,159334.45,153518.34,159334.75
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202407,2024-07-01,147641.31,139053.53,147641.4
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202408,2024-08-01,142514.8,145436.94,142514.83
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2024,202409,2024-09-01,147066.62,131117.44,147066.64
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2024,202410,2024-10-01,142834.78,125170.31,144420.42
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2024,202411,2024-11-01,155229.12,144533.47,155771.61
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2024,202412,2024-12-01,147978.34,133666.05,148163.94
Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2025,202501,2025-01-01,150250.06,141944.1,150313.56
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2023,202310,2023-10-01,174562.5,151586.78,189511.44
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2023,202311,2023-11-01,172563.55,146888.81,182492.95
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2023,202312,2023-12-01,168750.81,135628.42,175346.14
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202401,2024-01-01,165781.25,132179.39,170162.02
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202402,2024-02-01,153041.5,110434.625,155951.3
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202403,2024-03-01,176147.95,150253.22,178080.72
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202404,2024-04-01,178136.19,147632.19,179419.97
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202405,2024-05-01,171844.23,146257.42,172696.95
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202406,2024-06-01,169560.62,128238.29,170127.02
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202407,2024-07-01,153682.05,116924.99,154058.25
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202408,2024-08-01,147692.47,118811.414,147942.36
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2025,2024,202409,2024-09-01,150483.83,122575.02,150649.8
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2025,2024,202410,2024-10-01,174452.27,118193.47,189511.44
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2025,2024,202411,2024-11-01,172490.31,113495.5,182492.95
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2025,2024,202412,2024-12-01,168702.17,102235.11,175346.14
Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2025,2025,202501,2025-01-01,165748.94,98786.08,170162.02
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2023,202310,2023-10-01,36135.77,36003.16,34476.816
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2023,202311,2023-11-01,35831.72,34586.684,35856.875
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2023,202312,2023-12-01,37172.676,36124.93,35380.17
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2024,202401,2024-01-01,36834.59,35404.797,38427.094
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2024,202402,2024-02-01,32871.816,31951.49,34648.086
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2024,202403,2024-03-01,37360.51,37574.113,35944.707
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2024,202404,2024-04-01,35485.812,35352.055,36479.863
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2024,202405,2024-05-01,37108.543,37129.906,38357.1
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2024,202406,2024-06-01,35060.797,34580.008,36365.93
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2024,202407,2024-07-01,35237.266,35731.848,36045.19
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2024,2024,202408,2024-08-01,40739.613,40304.445,43487.492
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2025,2024,202409,2024-09-01,36403.05,36639.574,37252.754
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2025,2024,202410,2024-10-01,34887.805,35878.242,34476.816
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2025,2024,202411,2024-11-01,34583.758,34474.97,35856.875
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2025,2024,202412,2024-12-01,35924.715,36025.02,35380.17
Road player doctor pull.,113960985,Vincent Cooper,Hart LLC,Robertbury,2025,2025,202501,2025-01-01,35586.63,35315.45,38427.094
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2023,202310,2023-10-01,329128.0,322911.5,359969.53
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2023,202311,2023-11-01,318322.8,306156.0,338238.47
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2023,202312,2023-12-01,260989.17,247650.06,272434.72
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2024,202401,2024-01-01,257346.23,253234.55,319123.72
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2024,202402,2024-02-01,272766.44,250895.28,315461.97
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2024,202403,2024-03-01,355189.53,356169.12,383449.7
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2024,202404,2024-04-01,362697.72,368826.44,375198.56
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2024,202405,2024-05-01,328356.6,343408.38,371220.47
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2024,202406,2024-06-01,303306.78,326678.56,360514.66
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2024,202407,2024-07-01,287585.66,305643.56,344465.53
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2024,2024,202408,2024-08-01,309667.7,336042.78,368561.44
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2025,2024,202409,2024-09-01,283068.38,304091.06,342245.7
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2025,2024,202410,2024-10-01,269861.38,284465.84,359969.53
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2025,2024,202411,2024-11-01,252742.27,267710.3,338238.47
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2025,2024,202412,2024-12-01,190513.86,209204.39,272434.72
Everyone blood record yet.,40343688,Erik Morris,Romero Ltd,Port Anthonyhaven,2025,2025,202501,2025-01-01,215957.1,214788.86,319123.72
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2023,202310,2023-10-01,8498.156,8846.219,10236.162
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2023,202311,2023-11-01,8498.156,9246.071,9663.429
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2023,202312,2023-12-01,8498.156,9135.044,10296.829
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202401,2024-01-01,8498.156,7642.9,7514.2905
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202402,2024-02-01,8498.156,6599.493,6476.3555
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202403,2024-03-01,8498.156,8807.867,10985.448
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202404,2024-04-01,8498.156,8164.339,10012.839
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202405,2024-05-01,8498.156,8114.9473,7386.081
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202406,2024-06-01,8498.156,8082.4414,8252.035
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202407,2024-07-01,8498.156,7870.9854,7073.742
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202408,2024-08-01,8498.156,7688.1953,6457.4683
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202409,2024-09-01,8498.156,7704.6816,9535.62
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202410,2024-10-01,8498.156,8172.8804,10236.162
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202411,2024-11-01,8498.156,8572.733,9663.429
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202412,2024-12-01,8498.156,8461.706,10296.829
Kind visit short.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2025,202501,2025-01-01,8498.156,6969.5615,7514.2905
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2023,202310,2023-10-01,291868.25,298810.94,291106.94
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2023,202311,2023-11-01,296615.2,303922.44,292625.44
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2023,202312,2023-12-01,308951.3,316228.22,309908.8
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2024,202401,2024-01-01,296738.47,301975.9,309695.94
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2024,202402,2024-02-01,285710.8,292529.4,286575.97
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2024,202403,2024-03-01,315297.78,321970.2,321382.97
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2024,202404,2024-04-01,295914.22,302660.7,291291.66
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2024,202405,2024-05-01,307186.28,314343.0,296768.38
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2024,202406,2024-06-01,289989.47,296464.72,288442.84
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2024,202407,2024-07-01,282520.53,288917.34,294816.1
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2024,2024,202408,2024-08-01,310208.12,317320.1,309983.75
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2025,2024,202409,2024-09-01,323331.7,329879.0,324945.2
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2025,2024,202410,2024-10-01,290058.75,298805.28,291106.94
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2025,2024,202411,2024-11-01,294805.7,303916.78,292625.44
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2025,2024,202412,2024-12-01,307141.8,316222.56,309908.8
Bar television perhaps say coach send.,69186936,Christine Duffy,Glenn Inc,East Robert,2025,2025,202501,2025-01-01,294928.97,301970.25,309695.94
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2023,202310,2023-10-01,131383.33,135019.92,176210.58
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2023,202311,2023-11-01,102091.164,126305.86,146918.4
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2023,202312,2023-12-01,70729.555,80890.75,115556.8
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2024,202401,2024-01-01,92302.234,110386.19,137129.47
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2024,202402,2024-02-01,90254.18,105606.39,135081.42
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2024,202403,2024-03-01,118597.43,155911.36,163424.67
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2024,202404,2024-04-01,107031.39,145761.25,151858.64
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2024,202405,2024-05-01,108827.77,136246.77,153655.02
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2024,202406,2024-06-01,94612.52,124805.93,139439.77
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2024,202407,2024-07-01,110234.086,116382.6,155061.33
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2024,2024,202408,2024-08-01,97879.734,106361.52,142706.97
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2025,2024,202409,2024-09-01,91236.82,109211.9,136064.06
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2025,2024,202410,2024-10-01,86556.086,102441.59,176210.58
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2025,2024,202411,2024-11-01,57263.92,93727.53,146918.4
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2025,2024,202412,2024-12-01,25902.31,48312.426,115556.8
Beyond build threat model bar.,18548758,Crystal Roberts,Anderson-Frey,Port Anthonyhaven,2025,2025,202501,2025-01-01,47474.99,77807.86,137129.47
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2023,202310,2023-10-01,203999.84,197436.02,202303.31
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2023,202311,2023-11-01,204853.06,195681.38,198126.75
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2023,202312,2023-12-01,216320.89,209327.67,210801.03
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2024,202401,2024-01-01,205652.03,205275.44,215313.88
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2024,202402,2024-02-01,195377.17,192071.08,199464.92
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2024,202403,2024-03-01,207741.08,205036.39,202448.88
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2024,202404,2024-04-01,204082.75,203904.22,202916.28
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2024,202405,2024-05-01,203378.02,197807.3,197396.42
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2024,202406,2024-06-01,212188.8,208427.6,210574.75
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2024,202407,2024-07-01,197135.97,195786.16,204012.03
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2024,2024,202408,2024-08-01,204516.27,206872.83,210147.2
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2025,2024,202409,2024-09-01,201871.38,201763.7,219715.3
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2025,2024,202410,2024-10-01,196194.98,194424.28,202303.31
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2025,2024,202411,2024-11-01,193435.97,192838.3,198126.75
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2025,2024,202412,2024-12-01,205770.23,206643.81,210801.03
Information buy explain.,49057810,Robert Smith,Edwards Inc,Robertbury,2025,2025,202501,2025-01-01,206004.44,202741.88,215313.88
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2023,202310,2023-10-01,216055.36,208636.98,215070.69
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2023,202311,2023-11-01,236589.39,231183.58,217043.56
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2023,202312,2023-12-01,222722.61,227127.78,214998.03
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2024,202401,2024-01-01,227090.2,215856.88,213173.61
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2024,202402,2024-02-01,212877.81,205271.4,201211.72
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2024,202403,2024-03-01,211078.36,211766.08,199491.06
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2024,202404,2024-04-01,238159.6,229716.14,225407.84
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2024,202405,2024-05-01,226203.53,220182.45,214889.39
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2024,202406,2024-06-01,243865.61,232552.7,231281.45
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2024,202407,2024-07-01,216248.5,203848.33,204592.86
Decade third economy cost stock culture.,15199236,Angel Silva,Scott Inc,East Robert,2024,2024,202408,2024-08-01,222535.8,211501.69,210304.9
